frame,time_s,x,y,z,conf,audio_rms,centroid_hz,peak_hz,est_rpm
310,10.333,230.76,108.78,0.00970,0.335,NaN,NaN,172.27,2583.98
311,10.367,230.77,109.47,0.00954,0.326,NaN,NaN,167.37,2510.49
312,10.400,231.26,109.86,0.00952,0.274,NaN,NaN,161.50,2422.49
313,10.433,232.59,109.04,0.00951,NaN,NaN,NaN,165.01,2475.16
314,10.467,233.91,108.23,0.00949,NaN,NaN,NaN,164.06,2460.97
315,10.500,235.23,107.42,0.00948,NaN,NaN,NaN,163.62,2454.34
316,10.533,236.56,106.61,0.00946,NaN,NaN,NaN,274.46,4116.96
317,10.567,237.88,105.79,0.00944,NaN,NaN,NaN,171.53,2572.94
318,10.600,239.20,104.98,0.00943,NaN,NaN,NaN,161.50,2422.49
319,10.633,240.52,104.17,0.00941,NaN,NaN,NaN,161.50,2422.49
320,10.667,241.85,103.36,0.00940,NaN,NaN,NaN,168.23,2523.42
321,10.700,243.17,102.54,0.00938,NaN,NaN,NaN,161.50,2422.49
322,10.733,235.76,109.99,0.00990,0.251,NaN,NaN,164.15,2462.23
323,10.767,236.84,109.40,0.00990,NaN,NaN,NaN,172.27,2583.98
324,10.800,237.92,108.82,0.00990,NaN,NaN,NaN,161.50,2422.49
325,10.833,235.42,111.73,0.01010,0.373,NaN,NaN,161.50,2422.49
326,10.867,236.41,111.24,0.01010,NaN,NaN,NaN,172.14,2582.09
327,10.900,237.39,110.76,0.01011,NaN,NaN,NaN,167.70,2515.54
328,10.933,238.37,110.27,0.01011,NaN,NaN,NaN,161.50,2422.49
329,10.967,239.36,109.78,0.01012,NaN,NaN,NaN,169.09,2536.35
330,11.000,114.15,126.09,0.01010,0.278,NaN,NaN,161.50,2422.49
331,11.033,82.02,130.08,0.01020,0.276,NaN,NaN,161.50,2422.49
332,11.067,66.56,132.09,0.01011,0.305,NaN,NaN,167.98,2519.64
333,11.100,57.82,133.19,0.01001,0.349,NaN,NaN,171.87,2577.99
334,11.133,51.36,133.88,0.01059,0.276,NaN,NaN,161.50,2422.49
335,11.167,48.25,134.20,0.01014,0.254,NaN,NaN,171.28,2569.16
336,11.200,42.43,211.10,0.01324,0.280,NaN,NaN,161.50,2422.49
337,11.233,42.81,183.75,0.01036,0.294,NaN,NaN,161.50,2422.49
338,11.267,38.89,185.40,0.01037,NaN,NaN,NaN,161.50,2422.49
339,11.300,107.44,263.56,0.05675,0.251,NaN,NaN,168.50,2527.52
340,11.333,141.34,301.91,0.05577,0.273,NaN,NaN,171.34,2570.11
341,11.367,140.75,306.98,0.05720,NaN,NaN,NaN,161.50,2422.49
342,11.400,98.11,263.62,0.01198,0.282,NaN,NaN,161.50,2422.49
